algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lzma,lzma_rate,gz,gz_rate,bz2,bz2_rate,7z,7z_rate,zip,zip_rate,double_lzma,double_lzma_rate,double_gz,double_gz_rate,double_bz2,double_bz2_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
LogSig_results,AllZookeeper_0.10,8024536,3061921,0.38157,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,47004,0.00586,78866,0.00983,40927,0.0051,50782,0.00633,92093,0.01148
LogSig_results,AllLinux_0.10,2211764,1611090,0.72842,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,67056,0.03032,126022,0.05698,95577,0.04321,81088,0.03666,130369,0.05894
LogSig_results,AllBGL_0.10,325914886,169977952,0.52154,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,3068544,0.00942,5333241,0.01636,3531849,0.01084,3501879,0.01074,5517503,0.01693
LogSig_results,AllHadoop_0.10,29744058,22263130,0.74849,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1050712,0.03533,1884724,0.06336,1264302,0.04251,1139486,0.03831,1905062,0.06405
LogSig_results,AllHDFS_0.10,1340000593,271656768,0.20273,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,7264544,0.00542,8983640,0.0067,4433013,0.00331,8715470,0.0065,11147871,0.00832
LogSig_results,AllProxifier_0.10,2047821,706393,0.34495,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,77884,0.03803,101318,0.04948,70014,0.03419,83086,0.04057,99874,0.04877
MoLFI_results,AllZookeeper_0.10,8024536,4210296,0.52468,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,45000,0.00561,72607,0.00905,37994,0.00473,55313,0.00689,95655,0.01192
MoLFI_results,AllLinux_0.10,2211764,1243461,0.5622,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,67956,0.03072,121236,0.05481,95866,0.04334,79332,0.03587,125659,0.05681
MoLFI_results,AllBGL_0.10,325914886,181144365,0.5558,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,3152532,0.00967,5214200,0.016,3457317,0.01061,3479615,0.01068,5504409,0.01689
MoLFI_results,AllHadoop_0.10,29744058,26121803,0.87822,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1089624,0.03663,1935636,0.06508,1268377,0.04264,1143462,0.03844,1992927,0.067
MoLFI_results,AllHDFS_0.10,1340000593,543086950,0.40529,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,9668020,0.00721,10474942,0.00782,4914774,0.00367,11563583,0.00863,16051415,0.01198
MoLFI_results,AllProxifier_0.10,2047821,1314079,0.6417,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,87008,0.04249,114632,0.05598,74319,0.03629,94505,0.04615,117291,0.05728
IPLoM_results,AllZookeeper_0.10,8024536,2868931,0.35752,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,46824,0.00584,74160,0.00924,40452,0.00504,50461,0.00629,85017,0.01059
IPLoM_results,AllLinux_0.10,2211764,1712017,0.77405,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,69060,0.03122,126282,0.0571,94839,0.04288,83472,0.03774,132455,0.05989
IPLoM_results,AllBGL_0.10,325914886,207226207,0.63583,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,3174496,0.00974,5377445,0.0165,3517534,0.01079,3510968,0.01077,5644780,0.01732
IPLoM_results,AllHadoop_0.10,29744058,24760903,0.83247,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1077308,0.03622,1906899,0.06411,1271395,0.04274,1174477,0.03949,1949443,0.06554
IPLoM_results,AllHDFS_0.10,1340000593,361065829,0.26945,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,8143160,0.00608,9320822,0.00696,4540322,0.00339,9701057,0.00724,12847626,0.00959
IPLoM_results,AllProxifier_0.10,2047821,800366,0.39084,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,79796,0.03897,103436,0.05051,70179,0.03427,85493,0.04175,102807,0.0502
LKE_results,AllZookeeper_0.10,8024536,1904932,0.23739,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,43196,0.00538,61786,0.0077,34112,0.00425,46506,0.0058,72848,0.00908
LKE_results,AllLinux_0.10,2211764,1720419,0.77785,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,68844,0.03113,126305,0.05711,94994,0.04295,83224,0.03763,132606,0.05995
LKE_results,AllBGL_0.10,325914886,--,--,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654
LKE_results,AllHadoop_0.10,29744058,28554130,0.95999,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1111632,0.03737,1977491,0.06648,1287189,0.04328,1207560,0.0406,2042456,0.06867
LKE_results,AllHDFS_0.10,1340000593,--,--,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423
LKE_results,AllProxifier_0.10,2047821,1481874,0.72363,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,88684,0.04331,119141,0.05818,74030,0.03615,98166,0.04794,123225,0.06017
Spell_results,AllZookeeper_0.10,8024536,5024318,0.62612,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,50128,0.00625,83077,0.01035,40043,0.00499,53219,0.00663,97701,0.01218
Spell_results,AllLinux_0.10,2211764,1579684,0.71422,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,70380,0.03182,126441,0.05717,95487,0.04317,81009,0.03663,131360,0.05939
Spell_results,AllBGL_0.10,325914886,184017177,0.56462,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,0,0.0,5306096,0.01628,57973,0.00018,3573122,0.01096,5533809,0.01698
Spell_results,AllHadoop_0.10,29744058,23651935,0.79518,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1074784,0.03613,1894695,0.0637,1269313,0.04267,1128961,0.03796,1963751,0.06602
Spell_results,AllHDFS_0.10,1340000593,573246937,0.4278,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,9781112,0.0073,10687621,0.00798,4991234,0.00372,11681145,0.00872,15759524,0.01176
Spell_results,AllProxifier_0.10,2047821,1497002,0.73102,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,89432,0.04367,117522,0.05739,74013,0.03614,97231,0.04748,121749,0.05945
Drain_results,AllZookeeper_0.10,8024536,1883614,0.23473,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,42840,0.00534,62575,0.0078,34334,0.00428,45948,0.00573,73436,0.00915
Drain_results,AllLinux_0.10,2211764,1465500,0.66259,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,65884,0.02979,123851,0.056,95012,0.04296,77767,0.03516,126743,0.0573
Drain_results,AllBGL_0.10,325914886,169082808,0.51879,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,3012832,0.00924,5037505,0.01546,3416912,0.01048,3316299,0.01018,5255104,0.01612
Drain_results,AllHadoop_0.10,29744058,12616307,0.42416,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,882096,0.02966,1530420,0.05145,1096226,0.03686,1040320,0.03498,1491850,0.05016
Drain_results,AllHDFS_0.10,1340000593,189123438,0.14114,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,6997952,0.00522,8464723,0.00632,4327175,0.00323,8391454,0.00626,10540797,0.00787
Drain_results,AllProxifier_0.10,2047821,494849,0.24165,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,73608,0.03594,94073,0.04594,69715,0.03404,76048,0.03714,90844,0.04436
FT_tree_results,AllZookeeper_0.10,8024536,875375,0.10909,223788,0.02789,345928,0.04311,238239,0.02969,250568,0.03123,388050,0.04836,26636,0.00332,39465,0.00492,25505,0.00318,32592,0.00406,43828,0.00546
FT_tree_results,AllLinux_0.10,2211764,1459013,0.65966,128340,0.05803,246266,0.11134,193333,0.08741,154754,0.06997,238256,0.10772,65100,0.02943,123423,0.0558,94791,0.04286,76742,0.0347,125700,0.05683
FT_tree_results,AllBGL_0.10,325914886,181753844,0.55767,9636796,0.02957,20799238,0.06382,16097662,0.04939,12873149,0.0395,21314037,0.0654,3062008,0.0094,5205007,0.01597,3410145,0.01046,3423501,0.0105,5411035,0.0166
FT_tree_results,AllHadoop_0.10,29744058,19386939,0.65179,1308256,0.04398,2399440,0.08067,1651469,0.05552,1490711,0.05012,2384256,0.08016,1026852,0.03452,1812132,0.06092,1236966,0.04159,1109909,0.03732,1829451,0.06151
FT_tree_results,AllHDFS_0.10,1340000593,238485471,0.17797,0,0.0,152581571,0.11387,124469450,0.09289,113936050,0.08503,153064271,0.11423,6762744,0.00505,8667496,0.00647,4349099,0.00325,8119020,0.00606,10420493,0.00778
FT_tree_results,AllProxifier_0.10,2047821,480212,0.2345,122288,0.05972,169238,0.08264,116688,0.05698,143128,0.06989,176103,0.086,72764,0.03553,92893,0.04536,68880,0.03364,75111,0.03668,89386,0.04365
