algorithm,way,sourceSize,matchResultsSize,matchResults_rate
LogSig_results,AllHadoop_0.90,3333006,2060075,0.61808
LogSig_results,AllHDFS_0.10,1340000593,271656768,0.20273
LogSig_results,AllLinux_0.90,331812,223747,0.67432
LogSig_results,AllHDFS_0.90,147970631,31724121,0.21439
LogSig_results,AllBGL_0.90,74021488,59578080,0.80488
LogSig_results,AllZookeeper_0.90,975261,411888,0.42234
LogSig_results,AllLinux_0.10,2211764,1611090,0.72842
LogSig_results,AllZookeeper_0.10,8024536,3061921,0.38157
LogSig_results,AllBGL_0.10,325914886,169977952,0.52154
LogSig_results,AllProxifier_0.10,2047821,706393,0.34495
LogSig_results,AllProxifier_0.90,222388,111193,0.5
LogSig_results,AllHadoop_0.10,29744058,22263130,0.74849
MoLFI_results,AllHadoop_0.90,3333006,--,--
MoLFI_results,AllHDFS_0.10,1340000593,543086950,0.40529
MoLFI_results,AllLinux_0.90,331812,220464,0.66442
MoLFI_results,AllHDFS_0.90,147970631,62081442,0.41955
MoLFI_results,AllBGL_0.90,74021488,58637840,0.79217
MoLFI_results,AllZookeeper_0.90,975261,469869,0.48179
MoLFI_results,AllLinux_0.10,2211764,1243461,0.5622
MoLFI_results,AllZookeeper_0.10,8024536,4210296,0.52468
MoLFI_results,AllBGL_0.10,325914886,181144365,0.5558
MoLFI_results,AllProxifier_0.10,2047821,1314079,0.6417
MoLFI_results,AllProxifier_0.90,222388,134958,0.60686
MoLFI_results,AllHadoop_0.10,29744058,26121803,0.87822
IPLoM_results,AllHadoop_0.90,3333006,1850034,0.55506
IPLoM_results,AllHDFS_0.10,1340000593,361065829,0.26945
IPLoM_results,AllLinux_0.90,331812,264696,0.79773
IPLoM_results,AllHDFS_0.90,147970631,20934788,0.14148
IPLoM_results,AllBGL_0.90,74021488,60225235,0.81362
IPLoM_results,AllZookeeper_0.90,975261,409346,0.41973
IPLoM_results,AllLinux_0.10,2211764,1712017,0.77405
IPLoM_results,AllZookeeper_0.10,8024536,2868931,0.35752
IPLoM_results,AllBGL_0.10,325914886,207226207,0.63583
IPLoM_results,AllProxifier_0.10,2047821,800366,0.39084
IPLoM_results,AllProxifier_0.90,222388,92272,0.41491
IPLoM_results,AllHadoop_0.10,29744058,24760903,0.83247
LKE_results,AllHadoop_0.90,3333006,--,--
LKE_results,AllHDFS_0.10,1340000593,--,--
LKE_results,AllLinux_0.90,331812,266935,0.80448
LKE_results,AllHDFS_0.90,147970631,--,--
LKE_results,AllBGL_0.90,74021488,--,--
LKE_results,AllZookeeper_0.90,975261,--,--
LKE_results,AllLinux_0.10,2211764,1720419,0.77785
LKE_results,AllZookeeper_0.10,8024536,1904932,0.23739
LKE_results,AllBGL_0.10,325914886,--,--
LKE_results,AllProxifier_0.10,2047821,1481874,0.72363
LKE_results,AllProxifier_0.90,222388,--,--
LKE_results,AllHadoop_0.10,29744058,28554130,0.95999
Spell_results,AllHadoop_0.90,3333006,2680255,0.80416
Spell_results,AllHDFS_0.10,1340000593,573246937,0.4278
Spell_results,AllLinux_0.90,331812,207679,0.62589
Spell_results,AllHDFS_0.90,147970631,59320369,0.40089
Spell_results,AllBGL_0.90,74021488,--,--
Spell_results,AllZookeeper_0.90,975261,491371,0.50384
Spell_results,AllLinux_0.10,2211764,1579684,0.71422
Spell_results,AllZookeeper_0.10,8024536,5024318,0.62612
Spell_results,AllBGL_0.10,325914886,184017177,0.56462
Spell_results,AllProxifier_0.10,2047821,1497002,0.73102
Spell_results,AllProxifier_0.90,222388,163945,0.7372
Spell_results,AllHadoop_0.10,29744058,23651935,0.79518
Drain_results,AllHadoop_0.90,3333006,1388680,0.41664
Drain_results,AllHDFS_0.10,1340000593,189123438,0.14114
Drain_results,AllLinux_0.90,331812,160871,0.48483
Drain_results,AllHDFS_0.90,147970631,20090068,0.13577
Drain_results,AllBGL_0.90,74021488,54682458,0.73874
Drain_results,AllZookeeper_0.90,975261,334912,0.34341
Drain_results,AllLinux_0.10,2211764,1465500,0.66259
Drain_results,AllZookeeper_0.10,8024536,1883614,0.23473
Drain_results,AllBGL_0.10,325914886,169082808,0.51879
Drain_results,AllProxifier_0.10,2047821,494849,0.24165
Drain_results,AllProxifier_0.90,222388,76146,0.3424
Drain_results,AllHadoop_0.10,29744058,12616307,0.42416
FT_tree_results,AllHadoop_0.90,3333006,1948238,0.58453
FT_tree_results,AllHDFS_0.10,1340000593,238485471,0.17797
FT_tree_results,AllLinux_0.90,331812,169158,0.5098
FT_tree_results,AllHDFS_0.90,147970631,--,--
FT_tree_results,AllLinux_0.50,1206429,700632,0.58075
FT_tree_results,AllBGL_0.90,74021488,60999703,0.82408
FT_tree_results,AllBGL_0.50,221556243,129544734,0.5847
FT_tree_results,AllZookeeper_0.90,975261,283376,0.29056
FT_tree_results,AllLinux_0.10,2211764,1459013,0.65966
FT_tree_results,AllZookeeper_0.10,8024536,875375,0.10909
FT_tree_results,AllBGL_0.10,325914886,181753844,0.55767
FT_tree_results,AllProxifier_0.10,2047821,480212,0.2345
FT_tree_results,AllProxifier_0.90,222388,77685,0.34932
FT_tree_results,AllZookeeper_0.50,4478476,898057,0.20053
FT_tree_results,AllProxifier_0.50,1142271,413911,0.36236
FT_tree_results,AllHadoop_0.10,29744058,19386939,0.65179
FT_tree_results,AllHadoop_0.50,16568482,9735571,0.5876
