algorithm,dataset,all_time,one_log_time
LogSig_results,AllHDFS_0.10,44.95716,0.00011
LogSig_results,AllLinux_0.10,0.59041,0.00032
LogSig_results,AllZookeeper_0.10,0.16943,7e-05
LogSig_results,AllBGL_0.10,18.0775,0.00027
LogSig_results,AllProxifier_0.10,0.05827,0.00015
LogSig_results,AllHadoop_0.10,0.65854,0.00014
MoLFI_results,AllHDFS_0.10,52.94116,0.00027
MoLFI_results,AllLinux_0.10,0.092,0.45221
MoLFI_results,AllZookeeper_0.10,0.22432,0.00069
MoLFI_results,AllBGL_0.10,16.72988,0.07723
MoLFI_results,AllProxifier_0.10,0.07451,0.00062
MoLFI_results,AllHadoop_0.10,0.86338,0.02446
IPLoM_results,AllHDFS_0.10,46.59328,0.00276
IPLoM_results,AllLinux_0.10,0.6092,0.00037
IPLoM_results,AllZookeeper_0.10,0.19253,0.00011
IPLoM_results,AllBGL_0.10,19.04173,0.00028
IPLoM_results,AllProxifier_0.10,0.065,0.00031
IPLoM_results,AllHadoop_0.10,1.06066,0.00012
LKE_results,AllHDFS_0.10,--,--
LKE_results,AllLinux_0.10,0.05861,9e-05
LKE_results,AllZookeeper_0.10,0.16026,0.00011
LKE_results,AllBGL_0.10,--,--
LKE_results,AllProxifier_0.10,0.0666,0.00016
LKE_results,AllHadoop_0.10,0.77074,4e-05
Spell_results,AllHDFS_0.10,52.99442,0.00012
Spell_results,AllLinux_0.10,0.10583,0.41496
Spell_results,AllZookeeper_0.10,0.23966,0.00017
Spell_results,AllBGL_0.10,17.18248,0.0003
Spell_results,AllProxifier_0.10,0.07543,0.00031
Spell_results,AllHadoop_0.10,0.82386,0.00493
Drain_results,AllHDFS_0.10,37.74768,0.0004
Drain_results,AllLinux_0.10,0.09748,0.3187
Drain_results,AllZookeeper_0.10,0.17485,0.0002
Drain_results,AllBGL_0.10,17.94926,0.06001
Drain_results,AllProxifier_0.10,0.05954,0.00078
Drain_results,AllHadoop_0.10,0.66505,0.0004
FT_tree_results,AllHDFS_0.10,36.58736,0.00033
FT_tree_results,AllLinux_0.10,0.09433,0.322
FT_tree_results,AllZookeeper_0.10,0.18335,0.00074
FT_tree_results,AllBGL_0.10,14.64821,0.14357
FT_tree_results,AllProxifier_0.10,0.05108,0.00253
FT_tree_results,AllHadoop_0.10,0.56194,0.00722
