algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
LogSig_results,HPC_0.20,90256,22673,0.25121,24920,0.2761,13429,0.14879,11959,0.1325,10429,0.11555,13518,0.14977,3614,0.04004,1535,0.01701,1263,0.01399,1570,0.01739,1630,0.01806
LogSig_results,HDFS_0.60,106287,32541,0.30616,36417,0.34263,21312,0.20051,16654,0.15669,17944,0.16883,21401,0.20135,4228,0.03978,2259,0.02125,1652,0.01554,2225,0.02093,2354,0.02215
LogSig_results,HDFS_0.70,81217,18216,0.22429,28692,0.35328,16845,0.20741,13353,0.16441,14279,0.17581,16934,0.2085,2639,0.03249,1598,0.01968,1335,0.01644,1643,0.02023,1693,0.02085
LogSig_results,Zookeeper_0.10,212830,7846,0.03687,25582,0.1202,15225,0.07154,10292,0.04836,12483,0.05865,15314,0.07195,3958,0.0186,1588,0.00746,1423,0.00669,1646,0.00773,1683,0.00791
LogSig_results,HPC_0.30,81320,26831,0.32994,22331,0.27461,12105,0.14886,10649,0.13095,9302,0.11439,12194,0.14995,3624,0.04456,1498,0.01842,1139,0.01401,1536,0.01889,1593,0.01959
LogSig_results,Zookeeper_0.60,95867,15717,0.16395,12617,0.13161,7911,0.08252,6048,0.06309,6670,0.06958,8000,0.08345,4394,0.04583,2600,0.02712,2574,0.02685,2650,0.02764,2695,0.02811
LogSig_results,Zookeeper_0.30,165392,60542,0.36605,20042,0.12118,12191,0.07371,8559,0.05175,9905,0.05989,12280,0.07425,6946,0.042,4370,0.02642,3673,0.02221,4088,0.02472,4465,0.027
LogSig_results,Zookeeper_0.80,46797,4951,0.1058,5532,0.11821,3480,0.07436,3035,0.06485,3259,0.06964,3569,0.07627,1900,0.0406,1079,0.02306,1166,0.02492,1181,0.02524,1174,0.02509
LogSig_results,HDFS_0.30,182234,40228,0.22075,60847,0.33389,34862,0.1913,26950,0.14789,29643,0.16266,34951,0.19179,5186,0.02846,2986,0.01639,2143,0.01176,2907,0.01595,3081,0.01691
LogSig_results,Proxifier_0.30,145574,30052,0.20644,22151,0.15216,12871,0.08842,8715,0.05987,11248,0.07727,12960,0.08903,11365,0.07807,6730,0.04623,5564,0.03822,6193,0.04254,6825,0.04688
LogSig_results,Proxifier_0.40,124654,25603,0.20539,18906,0.15167,11106,0.08909,7563,0.06067,9567,0.07675,11195,0.08981,9973,0.08001,5843,0.04687,4944,0.03966,5387,0.04322,5938,0.04764
LogSig_results,HPC_0.50,63946,27166,0.42483,15718,0.2458,9006,0.14084,7336,0.11472,6830,0.10681,9095,0.14223,2226,0.03481,1136,0.01776,991,0.0155,1160,0.01814,1231,0.01925
LogSig_results,HPC_0.60,55437,24138,0.43541,12703,0.22914,7314,0.13193,5954,0.1074,5623,0.10143,7403,0.13354,1795,0.03238,1074,0.01937,912,0.01645,1118,0.02017,1169,0.02109
