algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
LogSig_results,Linux_0.40,86160,20223,0.23471,13193,0.15312,7862,0.09125,7364,0.08547,5905,0.06854,7951,0.09228,3905,0.04532,2752,0.03194,3153,0.03659,2769,0.03214,2847,0.03304
LogSig_results,Linux_0.80,24355,7549,0.30996,5799,0.2381,3856,0.15832,3940,0.16177,3386,0.13903,3945,0.16198,3187,0.13086,2217,0.09103,2422,0.09945,2305,0.09464,2312,0.09493
LogSig_results,Hadoop_0.20,150278,126613,0.84253,16240,0.10807,10296,0.06851,8602,0.05724,8135,0.05413,10385,0.06911,7536,0.05015,5141,0.03421,4700,0.03128,4299,0.02861,5236,0.03484
LogSig_results,Linux_0.70,40828,13324,0.32634,7696,0.1885,4959,0.12146,4913,0.12033,4000,0.09797,5048,0.12364,3489,0.08546,2468,0.06045,2828,0.06927,2527,0.06189,2563,0.06278
LogSig_results,Hadoop_0.90,19215,884,0.04601,1923,0.10008,1303,0.06781,1224,0.0637,1141,0.05938,1392,0.07244,278,0.01447,164,0.00853,153,0.00796,244,0.0127,259,0.01348
LogSig_results,Hadoop_0.80,38510,1827,0.04744,3356,0.08715,2226,0.0578,1726,0.04482,1646,0.04274,2315,0.06011,518,0.01345,260,0.00675,229,0.00595,291,0.00756,355,0.00922
LogSig_results,Hadoop_0.40,116659,79125,0.67826,11526,0.0988,7442,0.06379,5752,0.04931,5831,0.04998,7531,0.06456,4423,0.03791,3111,0.02667,2908,0.02493,2534,0.02172,3206,0.02748
LogSig_results,Hadoop_0.50,97645,8485,0.0869,9023,0.09241,5725,0.05863,4134,0.04234,3604,0.03691,5814,0.05954,2295,0.0235,1401,0.01435,1500,0.01536,1157,0.01185,1496,0.01532
LogSig_results,Hadoop_0.10,165414,137370,0.83046,17837,0.10783,11352,0.06863,9346,0.0565,8687,0.05252,11441,0.06917,8372,0.05061,5517,0.03335,4992,0.03018,4603,0.02783,5612,0.03393
LogSig_results,Hadoop_0.30,134160,81769,0.60949,14404,0.10736,9273,0.06912,7692,0.05733,7480,0.05575,9362,0.06978,5889,0.0439,4099,0.03055,3677,0.02741,3358,0.02503,4194,0.03126
