algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,HPC_0.20,0.01024,0.00223,0.00103,0.00683,0.00656,0.0055
LogSig_results,HDFS_0.60,0.00359,0.00134,0.00085,0.00558,0.00729,0.0048
LogSig_results,HDFS_0.70,0.00374,0.00102,0.00057,0.0031,0.00587,0.00445
LogSig_results,Zookeeper_0.10,0.00697,0.0014,0.00079,0.007,0.00617,0.00585
LogSig_results,Linux_0.40,0.00687,0.00099,0.00049,0.00269,0.0042,0.00362
LogSig_results,Linux_0.80,0.00129,0.00052,0.00026,0.00114,0.00358,0.00324
LogSig_results,HPC_0.30,0.00414,0.00128,0.00058,0.00416,0.0049,0.00368
LogSig_results,Hadoop_0.20,0.00473,0.00055,0.00029,0.00296,0.00482,0.00358
LogSig_results,Zookeeper_0.60,0.00264,0.00097,0.00049,0.00318,0.00456,0.0038
LogSig_results,Zookeeper_0.30,0.00322,0.00079,0.00047,0.00424,0.00437,0.00357
LogSig_results,Zookeeper_0.80,0.00123,0.00064,0.00036,0.00155,0.00542,0.00368
LogSig_results,HDFS_0.30,0.00366,0.00096,0.00056,0.00467,0.00506,0.00399
LogSig_results,Proxifier_0.30,0.00418,0.00134,0.00072,0.00602,0.00751,0.00653
LogSig_results,Proxifier_0.40,0.00879,0.0011,0.0006,0.0042,0.00499,0.00732
LogSig_results,HPC_0.50,0.00752,0.00086,0.00042,0.00259,0.005,0.00422
LogSig_results,HPC_0.60,0.00701,0.00111,0.00065,0.00317,0.00499,0.00508
LogSig_results,Zookeeper_0.90,0.00106,0.00055,0.00031,0.00087,0.0041,0.00369
LogSig_results,BGL_0.40,0.00323,0.00084,0.00038,0.00309,0.00534,0.00443
LogSig_results,Zookeeper_0.40,0.00734,0.00129,0.00079,0.00658,0.00549,0.00481
LogSig_results,HDFS_0.40,0.00495,0.00092,0.00055,0.0037,0.00471,0.0052
LogSig_results,HDFS_0.10,0.00476,0.0012,0.00066,0.00545,0.00483,0.00379
LogSig_results,Linux_0.70,0.00265,0.00062,0.00033,0.00204,0.00459,0.00404
LogSig_results,Hadoop_0.90,0.00094,0.0005,0.00025,0.00076,0.00409,0.00338
LogSig_results,BGL_0.50,0.0037,0.00097,0.00044,0.0027,0.00478,0.00355
LogSig_results,Proxifier_0.10,0.00508,0.00148,0.00084,0.00676,0.00518,0.00396
LogSig_results,Hadoop_0.80,0.00131,0.00057,0.00031,0.00136,0.00441,0.00329
LogSig_results,Proxifier_0.90,0.00062,0.00048,0.00027,0.00078,0.00369,0.00509
LogSig_results,Zookeeper_0.70,0.0016,0.00066,0.00038,0.00183,0.00389,0.00329
LogSig_results,Zookeeper_0.50,0.00231,0.00085,0.00044,0.00349,0.00431,0.00377
LogSig_results,Proxifier_0.80,0.0011,0.00057,0.00031,0.0014,0.00392,0.0034
LogSig_results,HPC_0.80,0.00136,0.00058,0.00038,0.00108,0.00369,0.00329
LogSig_results,BGL_0.10,0.0054,0.00149,0.00068,0.00472,0.0051,0.0039
LogSig_results,Hadoop_0.40,0.00391,0.00048,0.00028,0.00153,0.00541,0.00593
LogSig_results,HPC_0.90,0.00245,0.00071,0.00036,0.00117,0.00488,0.00382
LogSig_results,Hadoop_0.50,0.00422,0.00122,0.00067,0.00478,0.00617,0.00418
LogSig_results,Hadoop_0.10,0.00912,0.00089,0.00053,0.00283,0.00466,0.00396
LogSig_results,Hadoop_0.30,0.00467,0.00053,0.00033,0.00176,0.00401,0.00359
LogSig_results,Linux_0.90,0.00119,0.00047,0.00022,0.00051,0.00366,0.00351
LogSig_results,Hadoop_0.70,0.00128,0.00056,0.0004,0.002,0.00412,0.00361
LogSig_results,Proxifier_0.50,0.00276,0.00096,0.0005,0.00361,0.00472,0.00388
LogSig_results,Linux_0.10,0.00518,0.00104,0.00054,0.00392,0.00455,0.00383
LogSig_results,BGL_0.20,0.00948,0.00145,0.00079,0.00715,0.00627,0.00493
LogSig_results,Zookeeper_0.20,0.00653,0.00127,0.00084,0.00612,0.00505,0.00464
LogSig_results,Proxifier_0.60,0.00241,0.00083,0.00046,0.00287,0.00452,0.00743
LogSig_results,BGL_0.90,0.00179,0.00125,0.00063,0.00188,0.00436,0.00498
LogSig_results,Linux_0.50,0.00511,0.00081,0.0004,0.00235,0.00392,0.00342
LogSig_results,HPC_0.40,0.00303,0.00053,0.00031,0.00248,0.00606,0.00453
LogSig_results,BGL_0.60,0.00534,0.00091,0.00042,0.00228,0.00567,0.00454
LogSig_results,HPC_0.70,0.00209,0.00053,0.00027,0.00144,0.00424,0.00373
LogSig_results,BGL_0.70,0.00196,0.00068,0.00034,0.00183,0.00536,0.0036
LogSig_results,Linux_0.30,0.00701,0.00083,0.00044,0.00249,0.00436,0.00408
LogSig_results,Proxifier_0.70,0.00332,0.00075,0.00039,0.00219,0.0043,0.00347
LogSig_results,HPC_0.10,0.00556,0.0015,0.00076,0.00525,0.00521,0.00391
LogSig_results,BGL_0.80,0.00176,0.00053,0.00027,0.00121,0.00379,0.00515
LogSig_results,Linux_0.60,0.00232,0.00065,0.00034,0.00221,0.00384,0.00325
LogSig_results,HDFS_0.80,0.00129,0.00058,0.00041,0.00139,0.00384,0.00326
LogSig_results,Hadoop_0.60,0.00172,0.00136,0.00095,0.00654,0.00686,0.00433
LogSig_results,BGL_0.30,0.00661,0.00102,0.0005,0.00357,0.00439,0.00368
LogSig_results,HDFS_0.20,0.00514,0.00212,0.0013,0.01086,0.00685,0.00599
LogSig_results,Proxifier_0.20,0.00829,0.0029,0.00154,0.01279,0.00556,0.00541
LogSig_results,HDFS_0.50,0.00322,0.0008,0.00046,0.00338,0.00432,0.00453
LogSig_results,HDFS_0.90,0.00083,0.00048,0.00039,0.00082,0.00516,0.00645
LogSig_results,Linux_0.20,0.00436,0.00064,0.00038,0.00229,0.00519,0.00468
MoLFI_results,HPC_0.20,0.00562,0.00134,0.00058,0.00464,0.0051,0.00405
MoLFI_results,HDFS_0.60,0.00341,0.00081,0.00044,0.00261,0.00507,0.00512
MoLFI_results,HDFS_0.70,0.00508,0.00097,0.00054,0.00277,0.0052,0.00415
MoLFI_results,Zookeeper_0.10,0.00831,0.00178,0.00115,0.00895,0.00689,0.00503
MoLFI_results,Linux_0.40,0.00516,0.00088,0.00041,0.00218,0.00465,0.00375
MoLFI_results,Linux_0.80,0.00193,0.00069,0.00029,0.00107,0.00388,0.00344
MoLFI_results,HPC_0.30,0.00448,0.00121,0.00063,0.00422,0.00868,0.00629
MoLFI_results,Hadoop_0.20,0.00978,0.00077,0.00039,0.0022,0.00477,0.00466
MoLFI_results,Zookeeper_0.60,0.00448,0.00092,0.0005,0.00302,0.00453,0.00366
MoLFI_results,Zookeeper_0.30,0.00464,0.00121,0.00076,0.00547,0.00521,0.00405
MoLFI_results,Zookeeper_0.80,0.00178,0.00068,0.0004,0.00179,0.00416,0.00347
MoLFI_results,HDFS_0.30,0.00486,0.00104,0.00055,0.00458,0.00451,0.00368
MoLFI_results,Proxifier_0.30,0.00586,0.00144,0.00082,0.00507,0.00529,0.00419
MoLFI_results,Proxifier_0.40,0.00542,0.00142,0.0008,0.00439,0.00571,0.00477
MoLFI_results,HPC_0.50,0.00353,0.00099,0.00047,0.00308,0.00675,0.00415
MoLFI_results,HPC_0.60,0.00276,0.00096,0.00047,0.00277,0.00547,0.00434
MoLFI_results,Zookeeper_0.90,0.00096,0.00061,0.00028,0.00088,0.00439,0.00373
MoLFI_results,BGL_0.40,0.00406,0.00095,0.00055,0.00291,0.00566,0.00422
MoLFI_results,Zookeeper_0.40,0.00443,0.00109,0.00063,0.00472,0.00478,0.00386
MoLFI_results,HDFS_0.40,0.00436,0.00092,0.00051,0.00336,0.00453,0.00368
MoLFI_results,HDFS_0.10,0.0064,0.00109,0.00065,0.00629,0.00495,0.00373
MoLFI_results,Linux_0.70,0.00278,0.00069,0.00031,0.00158,0.00383,0.00353
MoLFI_results,Hadoop_0.90,0.001,0.00045,0.00026,0.0006,0.00368,0.00339
MoLFI_results,BGL_0.50,0.00364,0.00091,0.00044,0.00277,0.0043,0.00356
MoLFI_results,Proxifier_0.10,0.00728,0.00168,0.00091,0.0066,0.0053,0.00399
MoLFI_results,Hadoop_0.80,0.00212,0.00048,0.00028,0.00101,0.00429,0.00354
MoLFI_results,Proxifier_0.90,0.00114,0.00053,0.00028,0.00085,0.00396,0.00361
MoLFI_results,Zookeeper_0.70,0.00211,0.00084,0.00042,0.00218,0.00435,0.00359
MoLFI_results,Zookeeper_0.50,0.00357,0.00108,0.00055,0.0038,0.00584,0.00457
MoLFI_results,Proxifier_0.80,0.0021,0.00078,0.0004,0.00151,0.00481,0.00491
MoLFI_results,HPC_0.80,0.00153,0.00068,0.00036,0.00155,0.00395,0.00346
MoLFI_results,BGL_0.10,0.00537,0.00179,0.00087,0.00728,0.00592,0.00799
MoLFI_results,Hadoop_0.40,0.00456,0.00091,0.00056,0.0039,0.00436,0.00369
MoLFI_results,HPC_0.90,0.00122,0.00054,0.00028,0.00085,0.00393,0.00391
MoLFI_results,Hadoop_0.50,0.00335,0.0007,0.00043,0.00295,0.00427,0.00353
MoLFI_results,Hadoop_0.10,0.00626,0.00095,0.00067,0.00515,0.00476,0.00379
