algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,HPC_0.20,0.00012,0.00058,0.00035,0.00027,0.00673,0.0051
LogSig_results,HDFS_0.60,4e-05,0.00045,0.00024,0.00021,0.00547,0.00534
LogSig_results,HDFS_0.70,4e-05,0.00042,0.00021,0.0002,0.00506,0.00476
LogSig_results,Zookeeper_0.10,0.00024,0.00036,0.00021,0.00018,0.00403,0.00379
LogSig_results,Linux_0.40,7e-05,0.00036,0.00019,0.00017,0.00414,0.00392
LogSig_results,Linux_0.80,4e-05,0.00034,0.0002,0.00017,0.00633,0.00644
LogSig_results,HPC_0.30,0.00011,0.00074,0.00038,0.00031,0.00578,0.00421
LogSig_results,Hadoop_0.20,0.00011,0.00076,0.00039,0.00028,0.0037,0.00353
LogSig_results,Zookeeper_0.60,0.00011,0.00065,0.00032,0.00028,0.00507,0.00352
LogSig_results,Zookeeper_0.30,5e-05,0.00047,0.00025,0.00022,0.00381,0.00525
LogSig_results,Zookeeper_0.80,6e-05,0.00048,0.00023,0.0002,0.00378,0.00356
LogSig_results,HDFS_0.30,4e-05,0.00041,0.00022,0.00017,0.0042,0.00626
LogSig_results,Proxifier_0.30,8e-05,0.00072,0.00036,0.0003,0.0037,0.00327
LogSig_results,Proxifier_0.40,5e-05,0.00038,0.00018,0.00018,0.00347,0.00344
LogSig_results,HPC_0.50,6e-05,0.00036,0.00018,0.00017,0.00337,0.00317
LogSig_results,HPC_0.60,4e-05,0.00031,0.00017,0.00014,0.00329,0.00673
LogSig_results,Zookeeper_0.90,4e-05,0.00075,0.0004,0.00034,0.00591,0.00559
LogSig_results,BGL_0.40,0.00018,0.00047,0.00018,0.00015,0.00328,0.00342
LogSig_results,Zookeeper_0.40,5e-05,0.00032,0.00019,0.00015,0.00342,0.00332
LogSig_results,HDFS_0.40,3e-05,0.00035,0.00019,0.00016,0.00313,0.00303
LogSig_results,HDFS_0.10,4e-05,0.00042,0.00019,0.00016,0.00304,0.00306
LogSig_results,Linux_0.70,4e-05,0.00033,0.00019,0.00015,0.0031,0.00318
LogSig_results,Hadoop_0.90,6e-05,0.00037,0.00019,0.00016,0.00381,0.00331
LogSig_results,BGL_0.50,6e-05,0.0004,0.00018,0.00015,0.00326,0.00315
LogSig_results,Proxifier_0.10,8e-05,0.00033,0.00018,0.00016,0.00335,0.0033
LogSig_results,Hadoop_0.80,6e-05,0.00035,0.0002,0.00017,0.00326,0.00323
LogSig_results,Proxifier_0.90,3e-05,0.00036,0.00023,0.00017,0.00333,0.0032
LogSig_results,Zookeeper_0.70,4e-05,0.00037,0.00018,0.00016,0.00336,0.00314
LogSig_results,Zookeeper_0.50,4e-05,0.00034,0.00018,0.00016,0.00335,0.00322
LogSig_results,Proxifier_0.80,3e-05,0.00033,0.00023,0.00015,0.00317,0.00334
LogSig_results,HPC_0.80,4e-05,0.00034,0.00018,0.00015,0.00335,0.00321
LogSig_results,BGL_0.10,0.00014,0.00033,0.00018,0.00015,0.0034,0.00347
LogSig_results,Hadoop_0.40,6e-05,0.00083,0.00033,0.00028,0.00656,0.00627
LogSig_results,HPC_0.90,6e-05,0.00059,0.0003,0.00026,0.00501,0.00505
LogSig_results,Hadoop_0.50,0.0001,0.00034,0.00026,0.00015,0.00571,0.0054
LogSig_results,Hadoop_0.10,5e-05,0.00037,0.00019,0.00016,0.00352,0.00366
LogSig_results,Hadoop_0.30,6e-05,0.00034,0.00018,0.00016,0.00475,0.0045
LogSig_results,Linux_0.90,4e-05,0.00033,0.00018,0.00015,0.00402,0.00332
LogSig_results,Hadoop_0.70,7e-05,0.00035,0.00022,0.00016,0.00332,0.00317
LogSig_results,Proxifier_0.50,3e-05,0.00037,0.00019,0.00024,0.00408,0.0039
LogSig_results,Linux_0.10,0.00011,0.00048,0.00035,0.00019,0.00379,0.0033
LogSig_results,BGL_0.20,7e-05,0.00031,0.00018,0.00015,0.00344,0.00339
