algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LogSig_results,HPC_0.20,0.01137,0.00314,0.00139,0.01184,0.00929,0.00854
LogSig_results,HDFS_0.60,0.00706,0.00137,0.0008,0.00545,0.00725,0.00611
LogSig_results,HDFS_0.70,0.00471,0.00097,0.00049,0.00299,0.00682,0.00636
LogSig_results,Zookeeper_0.10,0.0118,0.00269,0.00163,0.01319,0.00849,0.00744
LogSig_results,Linux_0.40,0.011,0.00129,0.00066,0.00514,0.00717,0.00685
LogSig_results,Linux_0.80,0.00285,0.00074,0.00035,0.00167,0.00608,0.00544
LogSig_results,HPC_0.30,0.00734,0.0018,0.00079,0.00594,0.00593,0.00423
LogSig_results,Hadoop_0.20,0.00811,0.0009,0.00047,0.00599,0.00592,0.00397
LogSig_results,Zookeeper_0.60,0.00562,0.00113,0.00053,0.00334,0.00494,0.0051
LogSig_results,Zookeeper_0.30,0.00488,0.00082,0.00049,0.00427,0.00467,0.00714
LogSig_results,Zookeeper_0.80,0.00209,0.00065,0.00038,0.00152,0.00372,0.00338
LogSig_results,HDFS_0.30,0.00433,0.00093,0.00051,0.00435,0.00649,0.00445
LogSig_results,Proxifier_0.30,0.01002,0.00124,0.00072,0.00552,0.00791,0.00446
LogSig_results,Proxifier_0.40,0.00445,0.00156,0.00082,0.00639,0.00723,0.00705
LogSig_results,HPC_0.50,0.00827,0.00126,0.00062,0.00437,0.0063,0.00413
LogSig_results,HPC_0.60,0.00376,0.0008,0.00042,0.00237,0.00533,0.00652
LogSig_results,Zookeeper_0.90,0.00277,0.00106,0.00066,0.00193,0.00645,0.00535
LogSig_results,BGL_0.40,0.00891,0.0012,0.00062,0.00513,0.00561,0.00553
LogSig_results,Zookeeper_0.40,0.00801,0.00119,0.0007,0.00567,0.00521,0.00411
LogSig_results,HDFS_0.40,0.00602,0.00185,0.00111,0.00887,0.00765,0.00697
LogSig_results,HDFS_0.10,0.01432,0.00172,0.00105,0.00992,0.00753,0.00716
LogSig_results,Linux_0.70,0.00355,0.00066,0.00034,0.00199,0.00447,0.00574
